,station_key,traffic_count,year,wgs84_latitude,wgs84_longitude
130,58193,77788,2006,-35.152481,147.476913
131,56493,30524,2006,-36.440582,148.605881
132,58127,20168,2006,-34.558098,148.379456
133,58371,15712,2006,-35.667336,147.039795
134,57042,515806,2006,-33.809143,151.025696
135,328010,10164,2006,-32.080814,149.648331
136,57990,4570,2006,-33.042076,149.065292
137,58186,17234,2006,-35.580139,147.532364
138,58354,90058,2006,-35.724705,147.313202
139,58760,4860,2006,-33.527157,149.724548
140,58063,16380,2006,-35.185589,147.878983
141,57365,421568,2006,-33.730938,151.017548
142,58271,4916,2006,-34.127449,146.107574
143,58338,162148,2006,-35.095001,147.347794
144,58594,12592,2006,-35.889408,145.703613
145,58212,14768,2006,-33.922794,147.200333
146,57518,337506,2006,-33.769199,150.761856
147,58673,27436,2006,-31.960743,141.439178
148,58203,18696,2006,-34.929657,146.317154
149,57988,46488,2006,-32.343056,148.768646
150,58315,28060,2006,-35.987396,146.621841
151,56838,673422,2006,-33.836475,151.085938
152,58260,2676,2006,-34.309788,147.81366
153,58352,70444,2006,-35.714176,147.321228
154,56419,12040,2006,-36.92498,149.221268
155,58231,3590,2006,-34.447464,147.522369
156,58333,2858,2006,-36.171692,148.035171
157,58312,16024,2006,-35.936092,146.886673
158,57828,42128,2006,-33.110325,148.174591
159,58377,5492,2006,-35.320045,148.066544
160,56296,52164,2006,-34.586018,150.271423
161,58297,76816,2006,-35.131641,147.353195
162,56427,6032,2006,-35.752174,148.51828
163,58244,3644,2006,-35.069973,147.111801
164,55304,757052,2006,-33.860836,151.213791
165,58109,8200,2006,-34.851803,149.244156
166,56469,5640,2006,-36.847767,149.36087
167,56486,12872,2006,-36.414921,148.586685
168,57102,126065,2006,-33.798531,151.138992
169,58177,10330,2006,-34.876907,149.684677
170,58170,11672,2006,-34.378304,148.597214
171,58066,4165,2006,-34.652634,148.015045
172,58363,78664,2006,-34.551659,146.404755
173,58292,3084,2006,-34.360863,147.208435
174,57831,30466,2006,-32.55653,148.232864
175,58589,5344,2006,-35.423321,145.707413
176,55710,368378,2006,-32.818165,151.692841
177,56392,281840,2006,-34.65646,150.854126
178,58307,7724,2006,-35.708405,147.282913
179,58395,40616,2006,-35.879559,146.998672
180,58356,54650,2006,-35.994389,146.390717
181,58520,16672,2006,-35.563614,145.052734
182,56881,325766,2006,-33.811386,151.199509
183,58637,2108,2006,-34.666584,143.562012
